	Abies_amabilis	Abies_grandis	Acer_circinatum	Alnus_rubra	Amelanchier_alnifolia	Corylus_cornuta	Cornus_nuttallii	Holodiscus_discolor	Menziesia_ferruginea	Oemleria_cerasiformis	Pinus_monticola	Pseudotsuga_menziesii	Rhododendron_macrophyllum	Rhamnus_purshiana	Rosa_gymnocarpa	Rubus_spectabalis	Taxus_brevifolia	Thuja_plicata	Tsuga_heterophylla	Vaccinium_membranaceum	Vaccinium_ovalifolium	Vaccinium_parvifolium
B23	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	2
B24	0	0	11	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	13	0	0	0
B25	1	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	0	0
B26	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	22	0	0	0
B27	1	0	9	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	4	0	0	2
B28	4	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	7	0	0	4
B29	4	0	16	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	5	0	0	0
B30	12	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0
B31	2	1	22	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	13	0	0	0
B32	0	0	18	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	6	0	0	0
B33	1	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	15	0	0	0
B34	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
B35	2	1	8	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	13	0	0	1
B36	15	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	26	0	0	1
B37	10	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0	14	0	0	0
B38	7	0	11	0	0	0	0	0	0	0	0	4	0	0	0	0	7	0	11	0	0	0
B39	2	0	14	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	15	0	0	0
B40	9	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	10	0	0	0
C01	10	0	6	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	0	0
C02	4	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	16	0	0	0
C03	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0
C04	13	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	24	0	0	0
C05	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	34	0	0	0
C06	25	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	38	0	0	0
C07	11	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	29	0	0	1
C08	18	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	1
C09	3	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	21	0	0	0
C10	2	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	15	0	0	0
C11	1	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18	0	0	2
