	Abies_amabilis	Abies_grandis	Acer_circinatum	Alnus_rubra	Amelanchier_alnifolia	Corylus_cornuta	Cornus_nuttallii	Holodiscus_discolor	Menziesia_ferruginea	Oemleria_cerasiformis	Pinus_monticola	Pseudotsuga_menziesii	Rhododendron_macrophyllum	Rhamnus_purshiana	Rosa_gymnocarpa	Rubus_spectabalis	Taxus_brevifolia	Thuja_plicata	Tsuga_heterophylla	Vaccinium_membranaceum	Vaccinium_ovalifolium	Vaccinium_parvifolium
G21	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	3	0	23	0	0	2
G22	2	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	14	0	0	2
G23	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	13	0	0	1
G24	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0
G25	1	0	9	0	0	0	1	0	0	0	0	1	0	0	0	0	6	0	11	0	0	0
G26	9	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	14	0	0	0
G27	10	0	9	0	0	0	1	0	0	0	0	4	0	0	0	0	8	0	10	0	0	0
G28	12	0	9	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	10	0	0	0
G29	6	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	16	0	0	0
G30	7	1	9	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	16	0	0	0
G31	2	0	20	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	15	0	3	1
G32	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	25	0	6	3
G33	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	24	0	0	1
G34	3	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	21	0	0	3
G35	10	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	23	0	0	2
G36	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	3
G37	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	10
G38	2	0	5	0	0	0	0	0	0	0	1	2	0	0	0	0	5	0	8	0	3	1
G39	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	19	0	0	10
G40	3	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	21	0	0	7
H01	15	0	10	0	0	0	1	0	0	0	0	1	0	0	0	0	6	0	12	0	0	2
H02	15	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	26	0	0	0
H03	35	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	15	0	0	1
H04	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	18	0	0	0
H05	7	0	14	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	11	0	0	1
H06	37	0	18	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	16	0	0	2
H07	11	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	28	0	0	2
H08	22	0	22	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	10	0	0	0
H09	34	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	19	0	0	0
H10	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	14	0	0	0
H11	10	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	28	0	0	0
H12	4	0	6	0	0	2	0	0	0	0	0	1	0	0	0	0	14	0	37	0	0	1
H13	14	0	11	0	0	8	0	0	0	0	0	3	0	0	0	0	19	0	9	0	0	5
H14	1	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	27	0	0	0
H15	2	0	23	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	7	0	0	11
H16	25	0	19	0	0	5	2	0	0	0	0	0	0	0	0	0	5	0	12	0	0	1
H17	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	16	0	0	0
H18	1	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	11	0	0	2
H19	2	0	17	0	0	3	2	0	0	0	0	2	0	0	0	0	1	0	12	0	0	0
H20	0	0	17	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	17	0	0	0
H21	5	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	19	0	0	8
H22	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	20	0	0	1
H23	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	0	0	1
H24	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20	0	0	2
H25	16	0	7	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	12	0	0	0
H26	17	0	4	0	0	0	2	0	0	0	0	2	0	0	0	0	1	1	7	0	0	0
H27	17	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	3
H28	7	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	6	0	0	0
H29	9	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	10	0	0	0
H30	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	9	0	0	0
H31	3	0	7	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	15	0	0	1
H32	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	17	0	0	1
H33	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	0	0	0
H34	28	0	12	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	19	0	0	1
H35	21	0	20	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	8	0	0	6
H36	3	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	10	0	0	5
H37	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	16	0	4	23
H38	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	18	0	0	2
H39	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	24	0	0	2
H40	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	15	0	0	2
I01	17	0	16	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	13	0	0	0
I02	12	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	24	0	0	0
I03	26	0	12	0	0	3	2	0	0	0	1	0	0	0	0	0	4	0	32	0	0	0
I04	20	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	15	0	0	0
I05	26	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	28	0	0	5
I06	58	0	15	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	31	0	0	0
I07	23	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
I08	24	0	14	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	14	0	0	5
I09	12	1	6	0	0	1	0	0	0	0	0	1	0	0	0	0	6	0	10	0	0	1
I10	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	16	0	0	0
I11	21	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	13	0	0	0
I12	4	0	17	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	11	0	0	4
I13	21	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	4	1	36	0	0	0
I14	13	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	0	0
I15	3	0	8	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	15	0	0	0
I16	23	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	13	0	0	0
I17	14	0	12	0	0	1	3	0	0	0	0	0	0	0	0	0	5	0	12	0	0	0
I18	0	0	18	0	0	9	1	0	0	0	0	1	0	0	0	0	6	0	8	0	0	0
I19	9	0	15	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	21	0	0	0
I20	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	19	0	0	0
I21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	35	0	0	1
I22	1	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	0	0	3
I23	1	0	19	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	25	0	0	9
I24	3	0	11	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	18	0	0	1
I25	30	0	31	0	0	3	1	0	0	0	0	2	0	0	0	0	3	0	14	0	0	0
I26	10	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	5	0	10	0	0	0
I27	13	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	8	0	0	0
I28	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	11	0	0	0
I29	9	0	13	0	0	0	0	0	0	0	0	5	0	0	0	0	9	0	6	0	0	0
I30	2	0	10	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	12	0	0	0
I31	12	0	14	0	0	2	2	0	0	0	0	4	0	0	0	0	3	1	25	0	0	7
I32	18	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	34	0	0	10
I33	17	0	6	0	0	0	2	0	0	0	0	1	0	0	0	0	3	1	12	0	1	1
I34	11	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1
I35	11	0	15	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	13	0	0	1
I36	6	0	7	0	0	0	1	0	0	0	0	1	0	0	0	0	6	2	10	0	0	2
I37	4	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	12	0	0	1
I38	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0
I39	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	13	0	0	0
I40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0
J01	8	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	22	0	0	0
J02	13	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	19	0	0	0
J03	10	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24	0	0	0
J04	22	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	19	0	0	3
J05	6	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	32	0	0	0
J06	7	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	21	0	0	4
J07	29	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	17	0	0	0
J08	31	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	1
J09	18	0	26	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	12	0	0	2
J10	1	0	11	0	0	1	0	0	0	0	0	4	0	0	0	0	3	0	12	0	0	0
J11	1	0	16	0	0	12	0	0	0	0	0	7	0	0	0	0	5	0	24	0	0	6
J12	11	0	15	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	14	0	0	1
J13	3	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	17	0	0	0
J14	13	0	8	0	0	1	0	0	0	0	0	3	0	0	0	0	5	0	7	0	0	0
J15	17	1	21	0	0	13	1	0	0	0	0	2	0	0	0	0	7	0	19	0	0	3
J16	13	0	32	0	0	7	4	0	0	0	0	1	0	0	0	0	3	0	15	0	0	0
J17	8	2	37	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0
J18	1	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	18	0	0	0
J19	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	10	0	0	3
J20	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20	0	0	0
J21	2	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	24	0	0	1
J22	1	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	13	0	0	0
J23	1	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	12	0	0	3
J24	10	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	12	0	0	1
J25	28	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	8	0	0	1
J26	3	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	7	0	0	0
J27	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	6	0	0	2
J28	3	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	5	0	0	0
J29	2	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	9	0	23	0	0	0
J30	1	0	6	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	7	0	0	0
J31	10	0	10	0	0	0	1	0	0	0	0	2	0	0	0	0	7	0	7	0	0	1
J32	12	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	4	0	0	11
J33	29	1	16	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	25	0	0	1
J34	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	24	0	0	1
J35	5	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	20	0	8	37
J36	1	0	16	0	0	0	0	0	0	0	0	2	0	0	0	0	4	3	7	0	1	4
J37	0	1	6	0	0	0	0	0	0	0	0	2	0	0	0	0	4	1	15	0	0	7
J38	15	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	4	3	15	0	2	7
J39	28	0	11	0	0	0	0	0	0	0	0	4	0	0	0	0	3	1	11	0	1	8
J40	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	15	0	0	1
K01	10	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	15	0	0	0
K02	20	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	21	0	0	2
K03	21	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	23	0	0	4
K04	28	0	23	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	27	0	0	2
K05	14	0	13	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	26	0	0	1
K06	8	0	18	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	25	0	0	0
K07	7	0	30	0	1	0	0	2	0	0	0	1	0	0	0	0	2	0	8	0	0	0
K08	11	0	30	0	0	5	1	6	0	0	0	0	0	0	0	0	0	0	4	0	0	10
K09	11	1	3	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	10	0	0	0
K10	1	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	14	0	0	0
K11	1	0	24	0	0	11	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	1
K12	4	0	12	0	0	1	0	0	0	0	0	2	0	0	0	0	3	0	15	0	0	0
K13	4	0	27	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	9	0	0	1
K14	2	0	22	0	0	3	0	0	0	0	0	3	0	0	0	0	4	0	5	0	0	0
K15	9	0	11	0	0	1	1	0	0	0	0	0	0	0	0	0	5	0	23	0	0	1
K16	23	1	21	0	0	0	2	0	0	0	0	1	0	0	0	0	5	0	6	0	0	1
K17	5	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	13	0	0	0
K18	5	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	18	0	0	1
K19	4	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	18	0	0	0
K20	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	19	0	0	2
K21	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	7	0	0	4
K22	1	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	5
K23	1	0	15	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	15	0	0	2
K24	4	0	11	0	0	0	0	0	0	0	0	3	6	0	0	0	4	0	12	0	0	1
K25	10	1	5	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	9	0	0	1
K26	14	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	13	0	0	7
K27	3	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	14	0	0	5
K28	0	0	4	0	0	0	0	0	0	0	1	5	0	0	0	0	6	0	10	0	0	0
K29	1	0	5	0	0	0	1	0	0	0	0	4	0	0	0	0	12	0	4	0	0	0
K30	0	0	21	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	8	0	1	1
K31	6	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	11	0	0	0
K32	3	1	10	0	0	1	0	0	0	0	0	2	0	0	0	0	3	0	26	0	0	0
K33	13	0	10	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	11	0	0	0
K34	3	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	19	0	0	8
K35	1	0	8	0	0	1	0	0	0	0	0	1	0	0	0	0	3	1	24	0	6	5
K36	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	16	0	0	4
K37	1	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	12	0	0	6
K38	6	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	9	0	0	2
K39	16	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	11	0	0	0
K40	30	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	5	0	0	3
L01	13	0	17	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	4	0	0	0
L02	29	0	27	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	29	0	0	0
L03	19	0	20	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0
L04	5	0	32	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	1
L05	17	0	18	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	15	0	0	5
L06	7	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	15	0	0	1
L07	4	0	23	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	0	1
L08	1	0	41	0	0	30	0	0	0	0	0	2	0	0	0	0	2	0	3	0	0	8
L09	1	0	12	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
L10	2	0	15	0	0	2	0	0	0	0	0	1	0	0	0	0	4	0	12	0	0	0
L11	6	0	20	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0
L12	3	0	37	0	0	4	0	0	0	0	0	4	0	0	0	0	1	0	6	0	0	0
L13	5	0	24	0	0	11	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0
L14	7	0	19	0	0	6	0	0	0	0	0	1	0	0	0	0	2	0	17	0	0	1
L15	4	0	19	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	14	0	0	0
L16	2	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	13	0	0	1
L17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	21	0	0	2
L18	2	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	17	0	0	1
L19	0	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	11	0	0	5
L20	0	0	60	0	0	9	0	0	0	0	0	1	0	0	0	0	6	0	19	0	0	0
L21	0	1	31	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	14	0	0	1
L22	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0
L23	0	0	32	0	0	0	0	0	0	0	0	1	0	0	0	0	7	2	16	0	0	4
L24	0	0	14	0	0	4	1	0	0	0	0	1	2	0	0	0	9	0	11	0	0	2
L25	2	0	20	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	8	0	0	0
L26	7	0	12	0	0	0	0	0	0	1	0	1	0	0	0	0	6	0	25	0	0	3
L27	0	0	3	0	0	2	0	0	0	0	0	2	0	0	0	0	8	0	20	0	0	3
L28	4	0	7	0	0	7	0	0	0	0	0	4	0	0	0	0	8	0	45	0	0	0
L29	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	8	0	9	0	0	0
L30	1	0	15	0	0	15	0	0	0	0	0	2	0	0	0	0	4	0	10	0	0	0
L31	2	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	5	1	6	0	0	0
L32	2	0	16	0	0	9	0	0	0	0	0	7	0	0	0	0	8	0	6	0	0	1
L33	5	0	12	0	0	11	1	0	0	0	0	3	0	0	0	0	9	1	7	0	0	0
L34	1	0	11	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	14	0	0	1
L35	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	6	0	0	3
L36	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	12	0	0	0
L37	0	1	15	0	0	0	1	0	0	0	0	1	0	0	0	0	6	1	17	0	0	1
L38	1	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	18	0	0	1
L39	3	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	7	0	0	6
L40	24	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	12	0	1	0
M01	26	0	18	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	15	0	0	2
M02	13	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
M03	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0
M04	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	0	0
M05	8	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	3
M06	0	0	18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	0	0
M07	3	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	1
M08	3	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	8	0	0	0
M09	5	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	2
M10	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	0
M11	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
M12	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	13	0	0	1
M13	4	0	11	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0	0
M14	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	0
M15	2	0	5	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	21	0	0	1
M16	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
M17	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	17	0	0	1
M18	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	9	0	0	0
M19	1	0	47	3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	14	0	0	0
M20	1	0	15	0	0	15	0	0	0	0	0	0	0	0	0	0	7	0	18	0	0	5
M21	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0
M22	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	0	0	0
M23	4	3	13	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	47	0	0	2
M24	0	2	25	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	17	0	0	1
M25	3	0	26	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	6	0	0	3
M26	1	0	24	0	0	0	0	0	0	0	0	1	0	0	0	0	9	2	12	0	1	6
M27	0	0	30	0	0	1	0	0	0	0	0	1	0	0	0	0	5	1	8	0	0	1
M28	3	0	6	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	14	0	0	0
M29	8	0	11	0	0	4	0	0	0	0	0	0	0	0	0	0	3	2	15	0	0	2
M30	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	15	0	0	1
M31	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	10	0	0	2
M32	2	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	11	0	0	0
M33	2	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	9	0	5	12
M34	0	1	6	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	22	0	1	5
M35	0	0	11	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	12	0	0	0
M36	0	2	36	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	10	0	0	0
M37	0	1	48	0	0	1	0	0	0	0	0	1	0	0	0	0	3	1	18	0	0	0
M38	2	0	32	0	0	0	0	0	0	0	0	1	0	0	0	0	6	4	13	0	0	0
M39	2	0	11	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	4
M40	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	13	0	0	4
N01	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0
N02	12	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17	0	0	2
N03	6	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	1
N04	10	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1
N05	5	0	10	0	0	0	0	4	0	0	0	1	0	0	0	0	2	0	16	0	0	2
N06	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	2
N07	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20	0	0	0
N08	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8	0	0	0
N09	1	0	6	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	13	0	0	0
N10	0	0	12	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	15	0	0	0
N11	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	2
N12	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	20	0	0	1
N13	1	0	18	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	15	0	0	0
N14	5	0	19	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	17	0	0	3
N15	1	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	26	0	0	3
N16	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	11	0	0	5
N17	1	0	45	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	0	0	8
N18	1	0	43	1	0	11	0	0	0	0	0	0	0	0	0	0	6	0	37	0	0	4
N19	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	20	0	0	11
N20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	6
N21	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	0	1
N22	3	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	16	0	0	0
N23	10	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	18	0	0	0
N24	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	23	0	0	7
N25	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	39	0	0	3
N26	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	23	0	0	2
N27	1	0	6	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	24	0	0	1
N28	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	14	0	0	1
N29	0	2	1	0	0	21	0	0	0	0	0	0	0	0	0	0	4	3	12	0	0	4
N30	3	0	8	0	0	12	0	0	0	0	0	0	0	0	0	0	3	6	16	0	0	6
N31	2	0	11	0	0	5	0	0	0	0	0	0	0	0	0	0	2	3	14	0	0	0
N32	2	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	6	2	14	0	0	1
