	Acer_negundo	Acer_rubrum	Acer_saccharum	Ailanthus_altissima	Amelanchier_arborea	Asimina_triloba	Bumelia_lanuginosa	Carya_cordiformis	Carya_glabra	Carya_ovata	Carya_texana	Carya_tomentosa	Celtis_occidentalis	Celtis_tenuifolia	Cercis_canadensis	Cornus_drummondii	Cornus_florida	Diospyros_virginiana	Frangula_caroliniana	Fraxinus_americana	Gleditsia_triacanthos	Juglans_nigra	Juniperus_virginiana	Lindera_benzoin	Lonicera_maackii	Ostrya_viriginiana	Platanus_occidentalis	Prunus_americana	Prunus_serotina	Quercus_alba	Quercus_marilandica	Quercus_muehlenbergii	Quercus_rubra	Quercus_stellata	Quercus_velutina	Sassafras_albidum	Tilia_americana	Ulmus_rubra	Viburnum_rufidulum
2010	0	0	0	0	0	26	0	0	0	1	0	1	0	0	1	0	8	0	31	2	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	0	0	1	0
2011	0	0	0	0	0	28	1	0	2	0	0	1	0	0	0	0	13	0	33	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
2012	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	18	0	74	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
2013	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	9	0	118	2	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	2	0
2014	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	9	0	79	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	4	0	0	1	0
2015	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	21	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	9	0	0	0
2016	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	16	0	9	1	0	0	0	0	0	0	0	0	0	11	0	0	0	2	4	1	0	0	0
2017	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	14	0	7	1	0	0	0	0	0	0	0	0	0	5	0	0	3	2	7	8	0	0	0
2097	0	0	0	0	0	0	0	0	1	0	6	2	0	0	0	0	3	0	13	2	0	0	0	0	1	0	0	0	0	3	0	0	8	0	0	10	0	1	1
2098	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	83	2	0	0	0	0	0	0	0	0	0	7	0	0	4	0	1	1	0	0	0
