"variables","order","R2","R2Cum","AdjR2Cum","F","pvalue","site","trait","env"
"elev_mean",5,0.457931101278888,0.457931101278888,0.45685556774968,425.77110693691,0.001,"TRCP","func","topo"
"sin_aspect",3,0.206189387836663,0.664120489115551,0.662784984102094,308.781151338289,0.001,"TRCP","func","topo"
"cos_aspect",2,0.0587263035228818,0.722846792638433,0.721190498570535,106.369342246244,0.001,"TRCP","func","topo"
"convexity",4,0.0250885305366184,0.747935323175052,0.745922830745311,49.8655898841982,0.001,"TRCP","func","topo"
"slope",6,0.00825817954974195,0.756193502724793,0.753755437752041,16.9359300142444,0.001,"TRCP","func","topo"
"aspect",1,0.00233349793188087,0.758527000656674,0.755623517698638,4.8221352746482,0.023,"TRCP","func","topo"
"MEM8",8,0.133423652300448,0.133423652300448,0.131704254785171,77.5990724163407,0.001,"TRCP","func","topo"
"MEM6",6,0.10714614453143,0.240569796831878,0.237550193638367,70.9670361732747,0.001,"TRCP","func","topo"
"MEM2",2,0.0731092444778602,0.313679041309738,0.30957752163629,53.4747486043902,0.001,"TRCP","func","topo"
"MEM38",38,0.0532277300898508,0.366906771399589,0.361852134843897,42.1219049111749,0.001,"TRCP","func","topo"
"MEM7",7,0.0485923325587791,0.415499103958368,0.409654094997952,41.5673721698778,0.001,"TRCP","func","topo"
"MEM3",3,0.0439020910129455,0.459401194971314,0.452901008938905,40.5238472813445,0.001,"TRCP","func","topo"
"MEM16",16,0.0318324007090779,0.491233595680392,0.484082260679915,31.1587703482917,0.001,"TRCP","func","topo"
"MEM22",22,0.0277537888076885,0.51898738448808,0.51124472669312,28.6762396506821,0.001,"TRCP","func","topo"
"MEM41",41,0.0275209727651539,0.546508357253234,0.538279678251781,30.1006704530139,0.001,"TRCP","func","topo"
"MEM44",44,0.0267362794366051,0.573244636689839,0.564623316218927,31.0118148685125,0.001,"TRCP","func","topo"
"MEM14",14,0.0231182463647506,0.59636288305459,0.587375012029489,28.2937649307691,0.001,"TRCP","func","topo"
"MEM13",13,0.0229886503432086,0.619351533397798,0.61008625632026,29.773940035455,0.001,"TRCP","func","topo"
"MEM12",12,0.0179697456902103,0.637321279088009,0.627738304754968,24.3772638696629,0.001,"TRCP","func","topo"
"MEM43",43,0.0127357640241417,0.65005704311215,0.640079036194778,17.8693698866402,0.001,"TRCP","func","topo"
"MEM10",10,0.0119409612842124,0.661998004396363,0.651651004530945,17.3107588279609,0.002,"TRCP","func","topo"
"MEM4",4,0.0102315988215792,0.672229603217942,0.661505009458202,15.2645018368727,0.001,"TRCP","func","topo"
"MEM18",18,0.00985672690462946,0.682086330122571,0.671011468671923,15.1301538285966,0.001,"TRCP","func","topo"
"MEM72",72,0.00960740892278455,0.691693739045356,0.680298435765718,15.1758453782565,0.002,"TRCP","func","topo"
"MEM1",1,0.00937109913105305,0.701064838176409,0.689378072590713,15.2352575384873,0.002,"TRCP","func","topo"
"MEM58",58,0.0090775670385187,0.710142405214928,0.698189514708327,15.1889068732047,0.001,"TRCP","func","topo"
"MEM20",20,0.0074379854051243,0.717580390620052,0.705326647237864,12.7469368858059,0.001,"TRCP","func","topo"
"MEM28",28,0.00739312479603615,0.724973515416088,0.712446429161748,12.9837651158864,0.001,"TRCP","func","topo"
"MEM23",23,0.00682391846287567,0.731797433878964,0.718999386118001,12.2635989158349,0.001,"TRCP","func","topo"
