"sp","trait","values","code","type"
"Broussonetia_papyrifera","LWC",NA,NA,"morph"
"Broussonetia_papyrifera","SeedMassKEW",NA,NA,"morph"
"Broussonetia_papyrifera","SLA",NA,NA,"morph"
"Broussonetia_papyrifera","WoodDensity",NA,NA,"morph"
"Carpinus_caroliniana","BarkThickness",-0.782448572327031,NA,"morph"
"Carpinus_caroliniana","LeafSize",-0.18835337082881,NA,"morph"
"Carpinus_caroliniana","LWC",-0.638026865655907,NA,"morph"
"Carpinus_caroliniana","SeedMassKEW",0.354482080935323,NA,"morph"
"Carpinus_caroliniana","SLA",0.757410716966003,NA,"morph"
"Carpinus_caroliniana","WoodDensity",-0.0861950452592895,NA,"morph"
"Carya_alba","BarkThickness",1.19139173315015,NA,"morph"
"Carya_alba","LeafSize",0.537905250476066,NA,"morph"
"Carya_alba","LWC",-1.13572872840703,NA,"morph"
"Carya_alba","SeedMassKEW",NA,NA,"morph"
"Carya_alba","SLA",-0.34309869533783,NA,"morph"
"Carya_alba","WoodDensity",-1.03037981374039,NA,"morph"
"Carya_cordiformis","BarkThickness",0.443506116388224,NA,"morph"
"Carya_cordiformis","LeafSize",0.550198177606069,NA,"morph"
"Carya_cordiformis","LWC",-0.207346868715067,NA,"morph"
"Carya_cordiformis","SeedMassKEW",1.15790125867792,NA,"morph"
"Carya_cordiformis","SLA",0.969130715711966,NA,"morph"
"Carya_cordiformis","WoodDensity",-0.134680475391082,NA,"morph"
"Carya_glabra","BarkThickness",0.215522860837302,NA,"morph"
"Carya_glabra","LeafSize",0.477712715718131,NA,"morph"
"Carya_glabra","LWC",-1.01639099001993,NA,"morph"
"Carya_glabra","SeedMassKEW",1.23384326317408,NA,"morph"
"Carya_glabra","SLA",-0.251766501938362,NA,"morph"
"Carya_glabra","WoodDensity",0.363132838248653,NA,"morph"
"Carya_ovata","BarkThickness",-0.230164423575058,NA,"morph"
"Carya_ovata","LeafSize",0.547008681492855,NA,"morph"
"Carya_ovata","LWC",-0.681171910072121,NA,"morph"
"Carya_ovata","SeedMassKEW",0.532464036041726,NA,"morph"
"Carya_ovata","SLA",-0.244629090278137,NA,"morph"
"Carya_ovata","WoodDensity",1.41685328882628,NA,"morph"
"Carya_texana","BarkThickness",-0.424962610172519,NA,"morph"
"Carya_texana","LeafSize",-0.16845457085379,NA,"morph"
"Carya_texana","LWC",-0.392254201927575,NA,"morph"
"Carya_texana","SeedMassKEW",0.461401066336437,NA,"morph"
"Carya_texana","SLA",-0.414754565848298,NA,"morph"
"Carya_texana","WoodDensity",1.54250150715562,NA,"morph"
"Carya_tomentosa","BarkThickness",-0.386301976552431,NA,"morph"
"Carya_tomentosa","LeafSize",0.286280287803518,NA,"morph"
"Carya_tomentosa","LWC",-0.727398743375248,NA,"morph"
"Carya_tomentosa","SeedMassKEW",0.60962439116457,NA,"morph"
"Carya_tomentosa","SLA",-0.24761560161191,NA,"morph"
"Carya_tomentosa","WoodDensity",1.01625720450567,NA,"morph"
"Celtis_occidentalis","BarkThickness",-0.529046084330542,NA,"morph"
"Celtis_occidentalis","LeafSize",0.0716903890821321,NA,"morph"
"Celtis_occidentalis","LWC",1.23724167200766,NA,"morph"
"Celtis_occidentalis","SeedMassKEW",0.110588882030414,NA,"morph"
"Celtis_occidentalis","SLA",0.905051879230391,NA,"morph"
"Celtis_occidentalis","WoodDensity",0.375204921970491,NA,"morph"
"Celtis_tenuifolia","BarkThickness",NA,NA,"morph"
"Celtis_tenuifolia","LeafSize",-0.0123269063528068,NA,"morph"
"Celtis_tenuifolia","LWC",1.68795329671315,NA,"morph"
"Celtis_tenuifolia","SeedMassKEW",-0.769454469794601,NA,"morph"
"Celtis_tenuifolia","SLA",2.18806543494534,NA,"morph"
"Celtis_tenuifolia","WoodDensity",1.26045821236458,NA,"morph"
"Cephalanthus_occidentalis","BarkThickness",2.67072427632095,NA,"morph"
"Cephalanthus_occidentalis","LeafSize",0.361588483554864,NA,"morph"
"Cephalanthus_occidentalis","LWC",1.30619669835153,NA,"morph"
"Cephalanthus_occidentalis","SeedMassKEW",-0.399105957797628,NA,"morph"
"Cephalanthus_occidentalis","SLA",0.307636402395495,NA,"morph"
"Cephalanthus_occidentalis","WoodDensity",-1.28207044088795,NA,"morph"
"Cercis_canadensis","BarkThickness",-1.42104807454629,NA,"morph"
"Cercis_canadensis","LeafSize",0.826177472120637,NA,"morph"
"Cercis_canadensis","LWC",0.266478172641987,NA,"morph"
"Cercis_canadensis","SeedMassKEW",-0.452645936878764,NA,"morph"
"Cercis_canadensis","SLA",0.273924900428362,NA,"morph"
"Cercis_canadensis","WoodDensity",0.460448615190004,NA,"morph"
"Cornus_alternifolia","BarkThickness",NA,NA,"morph"
"Cornus_alternifolia","LeafSize",NA,NA,"morph"
"Cornus_alternifolia","LWC",NA,NA,"morph"
"Cornus_alternifolia","SeedMassKEW",NA,NA,"morph"
"Cornus_alternifolia","SLA",NA,NA,"morph"
"Cornus_alternifolia","WoodDensity",NA,NA,"morph"
"Cornus_drummondii","BarkThickness",NA,NA,"morph"
"Cornus_drummondii","LeafSize",0.28046306712328,NA,"morph"
"Cornus_drummondii","LWC",0.497612339157624,NA,"morph"
"Cornus_drummondii","SeedMassKEW",-0.978919887929506,NA,"morph"
"Cornus_drummondii","SLA",0.314765841591626,NA,"morph"
"Cornus_drummondii","WoodDensity",1.30372061851876,NA,"morph"
"Cornus_florida","BarkThickness",-0.230941764632941,NA,"morph"
"Cornus_florida","LeafSize",0.378037141070001,NA,"morph"
"Cornus_florida","LWC",0.50608725859655,NA,"morph"
"Cornus_florida","SeedMassKEW",0.027965016019179,NA,"morph"
"Cornus_florida","SLA",0.44645035024109,NA,"morph"
"Cornus_florida","WoodDensity",0.351405671204581,NA,"morph"
"Cornus_nuttallii","BarkThickness",0.669644136479431,NA,"morph"
"Cornus_nuttallii","LeafSize",0.432367593104579,NA,"morph"
"Cornus_nuttallii","LWC",0.645783702147508,NA,"morph"
"Cornus_nuttallii","SeedMassKEW",0.812068789881845,NA,"morph"
"Cornus_nuttallii","SLA",0.576736013119973,NA,"morph"
"Cornus_nuttallii","WoodDensity",-0.0199710431280608,NA,"morph"
"Corylus_cornuta","BarkThickness",-0.507954856809503,NA,"morph"
"Corylus_cornuta","LeafSize",0.507569241592942,NA,"morph"
"Corylus_cornuta","LWC",0.25205077923932,NA,"morph"
"Corylus_cornuta","SeedMassKEW",1.26737033808941,NA,"morph"
"Corylus_cornuta","SLA",1.11875096502651,NA,"morph"
"Corylus_cornuta","WoodDensity",-0.148082952012879,NA,"morph"
"Crataegus_sp.","BarkThickness",NA,NA,"morph"
"Crataegus_sp.","LeafSize",NA,NA,"morph"
"Crataegus_sp.","LWC",NA,NA,"morph"
"Crataegus_sp.","SeedMassKEW",NA,NA,"morph"
"Crataegus_sp.","SLA",NA,NA,"morph"
"Crataegus_sp.","WoodDensity",1.54693615015547,NA,"morph"
"Diospyros_virginiana","BarkThickness",-0.711205928604925,NA,"morph"
"Diospyros_virginiana","LeafSize",0.543821620349064,NA,"morph"
"Diospyros_virginiana","LWC",1.04077763046937,NA,"morph"
"Diospyros_virginiana","SeedMassKEW",-0.323743743850066,NA,"morph"
"Diospyros_virginiana","SLA",-0.0212861107083582,NA,"morph"
"Diospyros_virginiana","WoodDensity",1.44493936115872,NA,"morph"
"Elaeagnus_angustifolia","BarkThickness",-0.0155424663772982,NA,"morph"
"Elaeagnus_angustifolia","LeafSize",-0.462808877372689,NA,"morph"
"Elaeagnus_angustifolia","LWC",1.88133554936453,NA,"morph"
"Elaeagnus_angustifolia","SeedMassKEW",0.910995115561974,NA,"morph"
"Elaeagnus_angustifolia","SLA",0.971023536064985,NA,"morph"
"Elaeagnus_angustifolia","WoodDensity",-0.858611308212519,NA,"morph"
"Euonymous_americanus","BarkThickness",NA,NA,"morph"
"Euonymous_americanus","LeafSize",NA,NA,"morph"
"Euonymous_americanus","LWC",NA,NA,"morph"
"Euonymous_americanus","SeedMassKEW",NA,NA,"morph"
"Euonymous_americanus","SLA",NA,NA,"morph"
"Euonymous_americanus","WoodDensity",NA,NA,"morph"
"Fagus_grandifolia","BarkThickness",0.00960199611285702,NA,"morph"
"Fagus_grandifolia","LeafSize",0.404564433734411,NA,"morph"
"Fagus_grandifolia","LWC",-1.64202063781404,NA,"morph"
"Fagus_grandifolia","SeedMassKEW",1.08003447098102,NA,"morph"
"Fagus_grandifolia","SLA",0.153299989858966,NA,"morph"
"Fagus_grandifolia","WoodDensity",-0.181293500700712,NA,"morph"
"Frangula_caroliniana","BarkThickness",-1.34095830350347,NA,"morph"
"Frangula_caroliniana","LeafSize",0.152546137365143,NA,"morph"
"Frangula_caroliniana","LWC",0.497612339157624,NA,"morph"
"Frangula_caroliniana","SeedMassKEW",-0.564934658842316,NA,"morph"
"Frangula_caroliniana","SLA",0.0347508192477952,NA,"morph"
"Frangula_caroliniana","WoodDensity",1.07341482539275,NA,"morph"
"Fraxinus_americana","BarkThickness",-0.307571825266866,NA,"morph"
"Fraxinus_americana","LeafSize",0.321828465850452,NA,"morph"
"Fraxinus_americana","LWC",-0.027254830638281,NA,"morph"
"Fraxinus_americana","SeedMassKEW",-0.29494851422806,NA,"morph"
"Fraxinus_americana","SLA",0.447566841025896,NA,"morph"
"Fraxinus_americana","WoodDensity",-0.0437702938939712,NA,"morph"
"Fraxinus_pennsylvanica","BarkThickness",0.504109758419242,NA,"morph"
"Fraxinus_pennsylvanica","LeafSize",0.64946000927961,NA,"morph"
"Fraxinus_pennsylvanica","LWC",-0.220952638800737,NA,"morph"
