"variables","order","R2","R2Cum","AdjR2Cum","F","pvalue","site","trait"
"MEM178",178,0.00135862964311573,0.85998904298889,0.836329784049512,4.19201481337936,0.038,"TRCP","meta"
"MEM126",126,0.00134268304958984,0.86133172603848,0.83752325208685,4.17324293323076,0.048,"TRCP","meta"
"MEM78",78,0.00131630876314126,0.862648034801621,0.838691296685625,4.12089311815264,0.043,"TRCP","meta"
"MEM42",42,0.00131040807934713,0.863958442880968,0.839857840687387,4.13230396611853,0.031,"TRCP","meta"
"elev_mean",19,0.067393359663236,0.067393359663236,0.0659315937692911,46.1040717548594,0.001,"WFDP","func"
"K",6,0.00843552792479509,0.0758288875880311,0.0729272514423106,5.81432509188747,0.024,"WFDP","func"
"Na",9,0.00644031054223763,0.0822691981302687,0.0779402792535246,4.46322330744278,0.027,"WFDP","func"
"MEM1",1,0.0382600575471908,0.0382600575471908,0.0367526281703056,25.3809950461795,0.001,"WFDP","func"
"MEM60",60,0.0263607867226035,0.0646208442697943,0.0616840180351625,17.9518872528112,0.001,"WFDP","func"
"MEM2",2,0.0249009128718525,0.0895217571416469,0.0852270484489188,17.3941340287052,0.001,"WFDP","func"
"MEM203",203,0.0239873762907757,0.113509133432423,0.107924938997351,17.1823360161843,0.001,"WFDP","func"
"MEM143",143,0.0222774200645118,0.135786553496934,0.128970990038708,16.3430508725027,0.001,"WFDP","func"
"MEM97",97,0.0177927561256394,0.153579309622574,0.145556364690086,13.3064027800497,0.001,"WFDP","func"
"MEM3",3,0.0171234029710788,0.170702712593653,0.161517457828076,13.0495913131079,0.001,"WFDP","func"
"MEM230",230,0.0169184425030942,0.187621155096747,0.17732158178577,13.1410822505155,0.002,"WFDP","func"
"MEM288",288,0.0163447481445783,0.203965903241325,0.192593987573344,12.9356159152137,0.001,"WFDP","func"
"MEM180",180,0.0138464822197005,0.217812385461026,0.205376970285525,11.1347164724988,0.001,"WFDP","func"
"MEM40",40,0.0128799013003716,0.230692286761397,0.217217151656899,10.5140997255602,0.001,"WFDP","func"
"MEM229",229,0.0118137674393996,0.242506054200797,0.228008562415166,9.77860248993602,0.003,"WFDP","func"
"MEM137",137,0.0113408160307248,0.253846870231522,0.238351677440802,9.51460303789995,0.004,"WFDP","func"
"MEM64",64,0.0113076849456815,0.265154555177203,0.248694017213172,9.61740069404002,0.003,"WFDP","func"
"MEM233",233,0.0106845655411368,0.27583912071834,0.258431407274069,9.20675099748962,0.005,"WFDP","func"
"MEM146",146,0.00963865194018371,0.285477772658524,0.267127282068694,8.40404948783303,0.003,"WFDP","func"
"MEM38",38,0.00865594915748796,0.294133721816011,0.274841556656642,7.6275075639102,0.005,"WFDP","func"
"MEM166",166,0.00860072182731036,0.302734443643322,0.282523847806896,7.65999152843223,0.008,"WFDP","func"
"MEM300",300,0.00838893547931985,0.311123379122642,0.290012643966723,7.550176387978,0.008,"WFDP","func"
"MEM9",9,0.00833145232184573,0.319454831444487,0.297466296111514,7.57799662022262,0.009,"WFDP","func"
"MEM131",131,0.0081307742438243,0.327585605688312,0.304736572871895,7.4728002927823,0.008,"WFDP","func"
"MEM6",6,0.00803243748731625,0.335618043175628,0.311928573078162,7.45958537670558,0.007,"WFDP","func"
"MEM179",179,0.0076252387487758,0.343243281924404,0.318721521346906,7.15203505342023,0.007,"WFDP","func"
"MEM43",43,0.00755701041220574,0.35080029233661,0.325465669598526,7.15890865113619,0.009,"WFDP","func"
"MEM169",169,0.00726084859327275,0.358061140929882,0.331923565234845,6.94483746119895,0.009,"WFDP","func"
"MEM12",12,0.00706195044993746,0.36512309137982,0.338195196397561,6.81860620072025,0.011,"WFDP","func"
"MEM94",94,0.00671257829193711,0.371835669671757,0.344122537451393,6.53984589115216,0.019,"WFDP","func"
"MEM51",51,0.00645047372452429,0.378286143396281,0.349795164697584,6.33931414560137,0.014,"WFDP","func"
"MEM59",59,0.00624475179025863,0.38453089518654,0.355270888564261,6.18926045558746,0.012,"WFDP","func"
"MEM41",41,0.00624000277341685,0.390770897959957,0.360759612145176,6.23765620566348,0.012,"WFDP","func"
"MEM156",156,0.00610329876436333,0.39687419672432,0.366122716623093,6.15262293302472,0.02,"WFDP","func"
"MEM283",283,0.00556374443196123,0.402437941156281,0.370935493243598,5.65161863980341,0.013,"WFDP","func"
"MEM71",71,0.00554746166388898,0.40798540282017,0.375746984161863,5.67851161834706,0.013,"WFDP","func"
"MEM119",119,0.00547349582137169,0.413458898641542,0.38049625823462,5.64575093588557,0.023,"WFDP","func"
"MEM16",16,0.00537238541085511,0.418831284052397,0.385154288922983,5.58344022848098,0.02,"WFDP","func"
"MEM153",153,0.00526126311349551,0.424092547165892,0.389710012668334,5.50876992792044,0.021,"WFDP","func"
"MEM124",124,0.0051693715230664,0.429261918688959,0.394183332296087,5.45252149591542,0.023,"WFDP","func"
"MEM134",134,0.00488733695095128,0.43414925563991,0.398371671137941,5.19092629425353,0.028,"WFDP","func"
"MEM55",55,0.00485180569502336,0.439001061334933,0.402536130321704,5.18910681710224,0.02,"WFDP","func"
"MEM293",293,0.00477977717232797,0.443780838507261,0.40663765576985,5.14740721722121,0.024,"WFDP","func"
"MEM13",13,0.00473820558551702,0.448519044092778,0.410708476881748,5.1378871922748,0.025,"WFDP","func"
"MEM280",280,0.00471068751145448,0.453229731604233,0.41476348156634,5.14344068595683,0.021,"WFDP","func"
"MEM132",132,0.00470134581862658,0.45793107742286,0.41882207797518,5.16908826755826,0.028,"WFDP","func"
"MEM86",86,0.00451029905385308,0.462441376476713,0.422689142132133,4.9922516719264,0.034,"WFDP","func"
"MEM33",33,0.00450589481704328,0.466947271293756,0.42656448881601,5.02108211287045,0.022,"WFDP","func"
"elev_mean",19,0.0705130941883037,0.0705130941883037,0.0690562181603858,48.4002021016654,0.001,"WFDP","meta"
"Na",9,0.00831518315828202,0.0788282773465857,0.0759360584371559,5.75003719889318,0.01,"WFDP","meta"
"K",6,0.00891146554431017,0.0877397428908959,0.08343662847057,6.21280171093042,0.015,"WFDP","meta"
"MEM1",1,0.0419566325147861,0.0419566325147861,0.0404549971425523,27.9406261270805,0.001,"WFDP","meta"
"MEM2",2,0.0259517421591577,0.0679083746739438,0.0649818703558087,17.7356595705928,0.001,"WFDP","meta"
"MEM60",60,0.024074583850006,0.0919829585239498,0.0876998592717042,16.8624977607402,0.002,"WFDP","meta"
