"sp","site","Alcohols and polyols","Benzenoids","Carbonyl compounds","Glycosides","Organic acids and derivatives","Organoheterocyclic compounds","Phenylpropanoids and polyketides","Prenol lipids, terpenoids","Steroids and steroid derivatives","LeafSize","SLA","LWC","ChlorophyllContent","BarkThickness","WoodDensity","SeedMassKEW","abu"
"Fraxinus_americana","SERC",-0.113606159633652,0.894566837017619,0.22014283540011,0.281909512816134,2.06426178008102,-0.00759606318070942,0.567793210706453,0.160551115872564,0.0445088829600802,0.287589102025014,0.520436211172604,0.326187832325232,0.00484120741740839,0.240092902272613,-0.842646593413027,0.483700083066399,44
"Fraxinus_pennsylvanica","SERC",-0.644334304582804,0.378462870793347,-0.0945263863143548,-0.0676169340124784,1.34288652555929,-0.288698158504678,0.308051655653018,-0.396218764381266,-0.471809640075875,0.64946000927961,-0.0378038836755832,-0.220952638800737,NA,0.504109758419242,-0.777506615126208,0.368993361900343,563
"Ilex_opaca","SERC",-0.780820954403707,-0.535819853462327,NA,0.0120504459371202,-0.684926048654249,-0.557633768072885,-0.768175933641769,-0.60803467638038,-0.627492593480249,-0.38640969470331,-1.02358551447454,-0.124138568769438,3.13710874394377,-0.0993573413444817,-0.389623174071869,0.214757560430765,84
"Ilex_verticillata","SERC",0.786675396640263,0.633773293217826,-0.355857862939162,2.02623419501411,1.9768780312161,0.620482011827366,5.24265259018431,0.299502860006186,0.0226628782287234,-0.21913643913157,0.832838632871508,0.798086755627951,0.916505455030472,-0.300513041265723,-0.565333584488507,0.345252893977422,60
"Juglans_nigra","SERC",-0.459403197045504,-0.265433590576179,-0.34545870288723,-0.209759860464193,0.205097174805058,-0.191346149835054,1.79090092721326,-0.200043922886887,-0.528429304267717,0.206443977941019,0.225043742385155,-0.126449910434594,-0.370309947594514,1.76831745584086,-1.29008564749527,2.40872867888792,6
"Kalmia_latifolia","SERC",-0.278451145758457,-0.552874088273455,2.09777110765281,-0.0323159994253153,-1.03565915245831,-0.613061813990944,-0.299205621335271,-0.568647990935745,-0.270766814691104,-0.378410262206104,-0.583020925726797,0.131840282709757,3.33723161339315,-0.690252209863129,0.0437892684476904,-2.0701855423928,93
"Ligustrum_sp.","SERC",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2488516047407,0.26304167514026,0.295755167067263,1.13100769930359,0.0221742273579346,-0.425593056181836,NA,NA
"Lindera_benzoin","SERC",2.0667546695071,4.66287068229201,2.2798881536873,-0.523499094079511,0.66334754167458,1.31231242353418,-0.63106937080347,0.462296200640414,-0.179435409302593,0.325743696071181,0.927756897152453,1.35897233303919,0.0555255327262191,-0.463952047451732,-0.376319245072292,0.820007949927555,4069
"Liquidambar_styraciflua","SERC",-0.612350367400842,-0.240825453516324,-0.28600252066604,-0.600774946897828,-0.826418376205623,-0.529386952252142,0.638894576559476,-0.122438213997447,-0.596442606305226,0.647573206388417,-0.268410715835765,-0.318508355981297,NA,0.872895208274852,-1.04979369531755,-0.203032918244056,1303
"Liriodendron_tulipifera","SERC",-0.343325839821511,-0.33958548912236,-0.0849257389449037,-0.58593093933481,-0.476911214306546,0.224532363444358,-0.584617977004166,-0.0683317563648795,-0.564441138162652,0.906807379214248,-0.237413116811151,-0.0922981480253345,NA,1.64399205797294,-1.35223634790794,0.621109021039342,892
"Lonicera_mackii","SERC",0.379200558732063,0.661541741570617,1.06736610020153,-0.23479785315455,2.43560785738095,1.71380909740421,2.00259661980768,0.0932407584864592,-0.594119604638814,-0.473928400224874,0.56690908061085,0.466794450288834,0.240318324884058,-0.417853866219781,-0.552128203111148,-0.369078624265453,1
